"id","tv_name","ratings","price","original_price","discount_element","operating_system","features","launch_year","warranty"
779,"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹18,999","₹49,990","61% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty"
780,"BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android Based TV","4","₹8,049","₹19,000","57% off"," Android Based","HD Ready 1366 x 768 Pixels","2023","Please check the physical product for the warranty period and service center details (if any)"
781,"Panasonic 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition","4.3","₹64,990","₹94,990","31% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty on Product"
782,"MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹22,999","₹49,990","53% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Warranty"
783,"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...","4.4","₹30,490","₹49,990","39% off"," WebOS","Ultra HD (4K) 3840 x 2160 Pixels","2023","1 Year Product Warranty Applicable"
784,"KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos","4.6","₹46,999","₹84,999","44% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
785,"Coocaa Frameless 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹21,999","₹59,999","63% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
786,"Blaupunkt Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV","4.2","₹6,499","₹10,999","40% off"," Linux","HD Ready 1366 x 768 Pixels","2022","1 Year Warranty on Product and 6 Months Warranty on Accessories"
787,"MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV","4.2","₹11,499","₹20,000","42% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","1 Year Warranty"
788,"Acer V Series 80 cm (32 inch) QLED HD Ready Smart Google TV","4.1","₹13,999","₹23,999","41% off"," Google TV","HD Ready 1366 x 768 Pixels","2023","2 Years Comprehensive Warranty from the Date of Purchase"
789,"Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹19,999","₹29,999","33% off"," Google TV","Full HD 1920 x 1080 Pixels","2023","1 Year Warranty on Product and 2 Years Warranty on Panel"
790,"Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...","4.4","₹42,999","₹99,999","57% off"," Google TV","Ultra HD (4K) 3840 x 2160 Pixels","2022","1 Year Warranty on Product"
